"measure_cd","measure_title","rows"
"MIPS_GRP_001_overall","Diabetes: Hemoglobin A1c (HbA1c) Poor Control (>9%)","3353"
"MIPS_GRP_005_overall","Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) or Angiotensin Receptor-Neprilysin Inhibitor (ARNI) Therapy for Left Ventricular Systolic Dysfunction (LVSD)","340"
"MIPS_GRP_006_overall","Coronary Artery Disease (CAD): Antiplatelet Therapy","325"
"MIPS_GRP_007_overall","Coronary Artery Disease (CAD): Beta-Blocker Therapy  Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <=  40%)","61"
"MIPS_GRP_008_overall","Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)","310"
"MIPS_GRP_012_overall","Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation","727"
"MIPS_GRP_014_overall","Age-Related Macular Degeneration (AMD): Dilated Macular Examination","423"
"MIPS_GRP_019_overall","Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care","670"
"MIPS_GRP_024_overall","Communication with the Physician or Other Clinician Managing On-Going Care Post-Fracture for Men and Women Aged 50 Years and Older","59"
"MIPS_GRP_039_overall","Screening for Osteoporosis for Women Aged 65-85 Years of Age","406"
"MIPS_GRP_047_overall","Advance Care Plan","2258"
"MIPS_GRP_048_overall","Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older","173"
"MIPS_GRP_050_overall","Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older","101"
"MIPS_GRP_052_overall","Chronic Obstructive Pulmonary Disease (COPD): Long-Acting Inhaled Bronchodilator Therapy","20"
"MIPS_GRP_065_overall","Appropriate Treatment for Upper Respiratory Infection (URI)","1267"
"MIPS_GRP_066_overall","Appropriate Testing for Pharyngitis","684"
"MIPS_GRP_093_overall","Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy - Avoidance of Inappropriate Use","292"
"MIPS_GRP_107_overall","Adult Major Depressive Disorder (MDD): Suicide Risk Assessment","623"
"MIPS_GRP_112_overall","Breast Cancer Screening","2458"
"MIPS_GRP_113_overall","Colorectal Cancer Screening","2488"
"MIPS_GRP_116_overall","Avoidance of Antibiotic Treatment for Acute Bronchitis/Bronchiolitis","125"
"MIPS_GRP_117_overall","Diabetes: Eye Exam","2957"
"MIPS_GRP_118_overall","Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF <=  40%)","108"
"MIPS_GRP_126_overall","Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy - Neurological Evaluation","349"
"MIPS_GRP_127_overall","Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention - Evaluation of Footwear","256"
"MIPS_GRP_128_overall","Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan","3979"
"MIPS_GRP_130_overall","Documentation of Current Medications in the Medical Record","4507"
"MIPS_GRP_134_overall","Preventive Care and Screening: Screening for Depression and Follow-Up Plan","2205"
"MIPS_GRP_137_overall","Melanoma: Continuity of Care - Recall System","730"
"MIPS_GRP_138_overall","Melanoma: Coordination of Care","468"
"MIPS_GRP_141_overall","Primary Open-Angle Glaucoma (POAG): Reduction of Intraocular Pressure (IOP) by 15% OR Documentation of a Plan of Care","1161"
"MIPS_GRP_143_overall","Oncology: Medical and Radiation - Pain Intensity Quantified","443"
"MIPS_GRP_144_overall","Oncology: Medical and Radiation - Plan of Care for Pain","133"
"MIPS_GRP_145_overall","Radiology: Exposure Dose Indices Reported for Procedures Using Fluoroscopy","351"
"MIPS_GRP_147_overall","Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy","361"
"MIPS_GRP_155_overall","Falls: Plan of Care","591"
"MIPS_GRP_176_overall","Tuberculosis Screening Prior to First Course of Biologic and/or Immune Response Modifier Therapy","243"
"MIPS_GRP_177_overall","Rheumatoid Arthritis (RA): Periodic Assessment of Disease Activity","60"
"MIPS_GRP_178_overall","Rheumatoid Arthritis (RA): Functional Status Assessment","79"
"MIPS_GRP_180_overall","Rheumatoid Arthritis (RA): Glucocorticoid Management","25"
"MIPS_GRP_181_overall","Elder Maltreatment Screen and Follow-Up Plan","205"
"MIPS_GRP_182_overall","Functional Outcome Assessment","369"
"MIPS_GRP_185_overall","Colonoscopy Interval for Patients with a History of Adenomatous Polyps - Avoidance of Inappropriate Use","50"
"MIPS_GRP_187_overall","Stroke and Stroke Rehabilitation: Thrombolytic Therapy","78"
"MIPS_GRP_191_overall","Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery","543"
"MIPS_GRP_226_combinedPopulations","Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention","3799"
"MIPS_GRP_226_overall","Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention","3455"
"MIPS_GRP_226_screened","Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention","3811"
"MIPS_GRP_236_overall","Controlling High Blood Pressure","3229"
"MIPS_GRP_238_appropriateDiagnosis","Use of High-Risk Medications in Older Adults","4122"
