"measure_cd","measure_title","rows"
"PI_GRP_EP_1","e-Prescribing","2911"
"PI_GRP_EP_2","Query of the Prescription Drug Monitoring Program (PDMP)","4178"
"PI_GRP_EP_2_EX_1","Query of the Prescription Drug Monitoring Program (PDMP) Exclusion","157"
"PI_GRP_EP_2_EX_2","Query of the Prescription Drug Monitoring Program (PDMP) Exclusion","465"
"PI_GRP_EP_2_EX_3","Query of the Prescription Drug Monitoring Program (PDMP) Exclusion","456"
"PI_GRP_HIE_1","Support Electronic Referral Loops By Sending Health Information","551"
"PI_GRP_HIE_4","Support Electronic Referral Loops By Receiving and Reconciling Health Information","740"
"PI_GRP_HIE_5","Health Information Exchange (HIE) Bi-Directional Exchange","2925"
"PI_GRP_HIE_6","Enabling Exchange Under TEFCA","102"
"PI_GRP_INFBLO_1","Actions to Limit or Restrict the Compatibility of CEHRT","1"
"PI_GRP_LVITC_2","Support Electronic Referral Loops By Receiving and Reconciling Health Information Exclusion","971"
"PI_GRP_LVOTC_1","Support Electronic Referral Loops By Sending Health Information Exclusion","1175"
"PI_GRP_LVPP_1","e-Prescribing Exclusion","149"
"PI_GRP_ONCACB_1","ONC-ACB Surveillance Attestation","3641"
"PI_GRP_ONCDIR_1","ONC Direct Review Attestation","5293"
"PI_GRP_PEA_1","Provide Patients Electronic Access to Their Health Information","5209"
"PI_GRP_PHCDRR_1","Immunization Registry Reporting","2836"
"PI_GRP_PHCDRR_1_EX_1","Immunization Registry Reporting Exclusion","2363"
"PI_GRP_PHCDRR_1_EX_2","Immunization Registry Reporting Exclusion","18"
"PI_GRP_PHCDRR_1_EX_3","Immunization Registry Reporting Exclusion","15"
"PI_GRP_PHCDRR_1_PRE","Immunization Registry Reporting Active Engagement Level 1","260"
"PI_GRP_PHCDRR_1_PROD","Immunization Registry Reporting Active Engagement Level 2","2577"
"PI_GRP_PHCDRR_2","Syndromic Surveillance Reporting","768"
"PI_GRP_PHCDRR_2_PRE","Syndromic Surveillance Reporting Active Engagement Level 1","136"
"PI_GRP_PHCDRR_2_PROD","Syndromic Surveillance Reporting Active Engagement Level 2","633"
"PI_GRP_PHCDRR_3","Electronic Case Reporting","3429"
"PI_GRP_PHCDRR_3_EX_1","Electronic Case Reporting Exclusion","1365"
"PI_GRP_PHCDRR_3_EX_2","Electronic Case Reporting Exclusion","183"
"PI_GRP_PHCDRR_3_EX_3","Electronic Case Reporting Exclusion","237"
"PI_GRP_PHCDRR_3_PRE","Electronic Case Reporting Active Engagement Level 1","1940"
"PI_GRP_PHCDRR_3_PROD","Electronic Case Reporting Active Engagement Level 2","1491"
"PI_GRP_PHCDRR_4","Public Health Registry Reporting","1776"
"PI_GRP_PHCDRR_4_PRE","Public Health Registry Reporting Active Engagement Level 1","1070"
"PI_GRP_PHCDRR_4_PROD","Public Health Registry Reporting Active Engagement Level 2","706"
"PI_GRP_PHCDRR_5","Clinical Data Registry Reporting","1474"
"PI_GRP_PHCDRR_5_PRE","Clinical Data Registry Reporting Active Engagement Level 1","185"
"PI_GRP_PHCDRR_5_PROD","Clinical Data Registry Reporting Active Engagement Level 2","1289"
"PI_GRP_PPHI_1","Security Risk Analysis","5263"
"PI_GRP_PPHI_2","High Priority Practices Guide of the Safety Assurance Factors for EHR  Resilience (SAFER) Guides","3508"
