"measure_cd","measure_title","rows"
"QCDR_GRP_AAD6_overall","Skin Cancer: Biopsy Reporting Time - Clinician to Patient","69"
"QCDR_GRP_AAD7_overall","Psoriasis: Screening for Psoriatic Arthritis","62"
"QCDR_GRP_AAO16_overall","Age-Related Hearing Loss: Comprehensive Audiometric Evaluation","27"
"QCDR_GRP_AAO23_overall","Allergic Rhinitis: Intranasal Corticosteroids or Oral Antihistamines","51"
"QCDR_GRP_ABG41_overall","Upper Extremity Nerve Blockade in Shoulder Surgery","52"
"QCDR_GRP_ACEP19_overall","Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older","37"
"QCDR_GRP_ACEP21_overall","Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding","44"
"QCDR_GRP_ACEP22_overall","Appropriate Emergency Department Utilization of CT for Pulmonary Embolism","40"
"QCDR_GRP_ACEP25_overall","Tobacco Use: Screening and Cessation Intervention for Patients with Asthma and COPD","36"
"QCDR_GRP_ACEP30_overall","Sepsis Management: Septic Shock: Lactate Clearance Rate of >10","22"
"QCDR_GRP_ACEP31_overall","Appropriate Foley catheter use in the emergency department","20"
"QCDR_GRP_ACEP48_overall","Sepsis Management: Septic Shock: Lactate Level Measurement, Antibiotics Ordered, and Fluid Resuscitation","31"
"QCDR_GRP_ACEP55_overall","Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years","29"
"QCDR_GRP_ACR10_overall","Hepatitis B Safety Screening","31"
"QCDR_GRP_ACR12_overall","Disease Activity Measurement for Patients with PsA","32"
"QCDR_GRP_ACR14_overall","Gout: Serum Urate Target","40"
"QCDR_GRP_ACR15_overall","Safe Hydroxychloroquine Dosing","33"
"QCDR_GRP_ACRAD34_abdomen","Multi-strata weighted average for 3 CT Exam Types: Overall Percent of CT exams for which Dose Length Product is at or below the size-specific diagnostic reference level (for CT Abdomen-pelvis with contrast/single phase scan, CT Chest without contrast/single phase scan and CT Head/Brain without contrast/single phase scan)","36"
"QCDR_GRP_ACRAD34_chest","Multi-strata weighted average for 3 CT Exam Types: Overall Percent of CT exams for which Dose Length Product is at or below the size-specific diagnostic reference level (for CT Abdomen-pelvis with contrast/single phase scan, CT Chest without contrast/single phase scan and CT Head/Brain without contrast/single phase scan)","36"
"QCDR_GRP_ACRAD34_head","Multi-strata weighted average for 3 CT Exam Types: Overall Percent of CT exams for which Dose Length Product is at or below the size-specific diagnostic reference level (for CT Abdomen-pelvis with contrast/single phase scan, CT Chest without contrast/single phase scan and CT Head/Brain without contrast/single phase scan)","36"
"QCDR_GRP_ACRAD34_rollup","Multi-strata weighted average for 3 CT Exam Types: Overall Percent of CT exams for which Dose Length Product is at or below the size-specific diagnostic reference level (for CT Abdomen-pelvis with contrast/single phase scan, CT Chest without contrast/single phase scan and CT Head/Brain without contrast/single phase scan)","34"
"QCDR_GRP_ACRAD36_overall","Incidental Coronary Artery Calcification Reported on Chest CT","89"
"QCDR_GRP_ACRAD37_overall","Interpretation of CT Pulmonary Angiography (CTPA) for Pulmonary Embolism","106"
"QCDR_GRP_ACRAD40_overall","Use of Structured Reporting in Prostate MRI","101"
"QCDR_GRP_ACRAD41_overall","Use of Quantitative Criteria for Oncologic FDG PET Imaging","63"
"QCDR_GRP_AQI48_overall","Patient-Reported Experience with Anesthesia","69"
"QCDR_GRP_AQI56_overall","Use of Neuraxial Techniques and/or Peripheral Nerve Blocks for Total Knee Arthroplasty (TKA)","73"
"QCDR_GRP_AQI65_overall","Avoidance of Cerebral Hyperthermia for Procedures Involving Cardiopulmonary Bypass","21"
"QCDR_GRP_AQI68_overall","Obstructive Sleep Apnea: Mitigation Strategies","93"
"QCDR_GRP_AQI69_overall","Intraoperative Antibiotic Redosing","76"
"QCDR_GRP_AQI72_overall","Perioperative Anemia Management","41"
"QCDR_GRP_AQUA14_overall","Stones: Repeat Shock Wave Lithotripsy (SWL) Within 6 Months of Initial Treatment","24"
"QCDR_GRP_AQUA15_overall","Stones: Urinalysis Performed Before Surgical Stone Procedures","23"
"QCDR_GRP_AQUA26_overall","Benign Prostate Hyperplasia (BPH): Inappropriate Lab & Imaging Services for Patients with BPH","22"
"QCDR_GRP_CAP22_overall","Turnaround Time (TAT) - Biopsies","40"
"QCDR_GRP_CAP28_overall","Helicobacter pylori Status and Turnaround Time","67"
"QCDR_GRP_CAP30_overall","Urinary Bladder Biopsy Diagnostic Requirements For Appropriate Patient Management","59"
"QCDR_GRP_ECPR39_overall","Avoid Head CT for Patients with Uncomplicated Syncope","61"
"QCDR_GRP_ECPR46_overall","Avoidance of Opiates for Low Back Pain or Migraines","51"
"QCDR_GRP_ECPR52_overall","Appropriate Treatment of Psychosis and Agitation in the Emergency Department","35"
"QCDR_GRP_ECPR55_overall","Avoidance of Long-Acting (LA) or Extended-Release (ER) Opiate Prescriptions and Opiate Prescriptions for Greater Than 3 Days Duration for Acute Pain","36"
"QCDR_GRP_GIQIC23_overall","Appropriate follow-up interval based on pathology findings in screening colonoscopy","22"
"QCDR_GRP_HM7_overall","Functional Status Change for Patients with Vestibular Dysfunction","84"
"QCDR_GRP_IRIS13_overall","Diabetic Macular Edema - Loss of Visual Acuity","539"
"QCDR_GRP_IRIS2_overall","Glaucoma  Intraocular Pressure Reduction","1123"
"QCDR_GRP_IRIS23_overall","Refractive Surgery: Patients with a postoperative uncorrected visual acuity (UCVA) of 20/20 or better within 30 days","70"
"QCDR_GRP_IRIS39_overall","Intraocular Pressure Reduction Following Trabeculectomy or an Aqueous Shunt Procedure","29"
"QCDR_GRP_IRIS41_overall","Improved visual acuity after epiretinal membrane treatment within 120 days","64"
"QCDR_GRP_IRIS43_overall","Intraocular Pressure Reduction Following Laser Trabeculoplasty","21"
"QCDR_GRP_IRIS46_overall","Evidence of anatomic closure of macular hole within 90 days after surgery as documented by OCT","61"
"QCDR_GRP_IRIS54_overall","Complications After Cataract Surgery","624"
"QCDR_GRP_IRIS59_comorbidities&20/200","Regaining Vision After Cataract Surgery","518"
"QCDR_GRP_IRIS59_nocomorbidities","Regaining Vision After Cataract Surgery","537"
"QCDR_GRP_IRIS59_rollup","Regaining Vision After Cataract Surgery","206"
"QCDR_GRP_IROMS11_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in knee rehabilitation of patients with knee injury measured via their validated Knee Outcome Survey (KOS) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","173"
"QCDR_GRP_IROMS12_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with knee injury pain.","146"
"QCDR_GRP_IROMS13_overall","Failure to Progress (FTP): Proportion of patients not achieving a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with hip, leg or ankle injuries using the validated Lower Extremity Function Scale (LEFS) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","251"
"QCDR_GRP_IROMS14_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with hip, leg or ankle (lower extremity except knee) injury.","227"
"QCDR_GRP_IROMS16_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with neck pain/injury.","185"
"QCDR_GRP_IROMS17_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation patients with low back pain measured via the validated Modified Low Back Pain Disability Questionnaire (MDQ) score.","244"
"QCDR_GRP_IROMS18_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with low back pain.","221"
